CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-08-17,0.0,0.0,,16.0,6063.0,,0.0
EX41,2022-08-18,1381.0,10.0,130.7,22.0,10440.0,138.1,62.77272727272727
EX41,2022-08-19,2318.0,14.0,170.1,13.0,5310.0,165.57142857142858,178.30769230769232
EX41,2022-08-20,2332.0,22.0,115.36666666666667,18.0,7340.0,106.0,129.55555555555554
EX41,2022-08-21,2333.0,19.0,127.82954545454545,15.0,6562.0,122.78947368421052,155.53333333333333
EX41,2022-08-22,2366.0,22.0,102.51666666666667,9.5,3509.0,107.54545454545455,249.05263157894737
EX41,2022-08-23,1837.0,16.0,133.08333333333337,16.0,7785.0,114.8125,114.8125
EX41,2022-08-24,1475.0,17.0,35.557142857142864,17.0,5971.0,86.76470588235294,86.76470588235294
EX41,2022-08-25,1179.0,9.0,244.375,22.0,12232.0,131.0,53.59090909090909
EX41,2022-08-26,2240.0,20.0,118.34615384615384,19.0,9316.0,112.0,117.89473684210526
EX41,2022-08-27,2270.0,21.0,106.85,21.0,10232.0,108.0952380952381,108.0952380952381
EX41,2022-08-28,2363.0,21.0,126.88636363636365,15.0,8541.0,112.52380952380952,157.53333333333333
EX41,2022-08-29,1829.0,17.0,203.41346153846155,22.0,11295.0,107.58823529411765,83.13636363636364
EX41,2022-08-30,1195.0,23.0,99.92803030303031,22.0,11610.0,51.95652173913044,54.31818181818182
EX41,2022-08-31,2453.0,11.0,106.9090909090909,22.0,11475.0,223.0,111.5
EX41,2022-09-01,2290.0,21.0,111.78636363636365,20.0,9005.0,109.04761904761905,114.5
EX41,2022-09-02,2320.0,21.0,120.21363636363634,6.0,0.0,110.47619047619048,386.6666666666667
EX41,2022-09-03,2027.0,17.0,159.74166666666667,22.0,9574.0,119.23529411764706,92.13636363636364
EX41,2022-09-04,1352.0,26.0,111.9702380952381,21.0,9403.0,52.0,64.38095238095238
EX41,2022-09-05,1447.0,0.0,,19.0,7335.0,inf,76.15789473684211
EX41,2022-09-06,2331.0,21.0,107.69545454545454,21.0,8228.0,111.0,111.0
EX41,2022-09-07,2198.0,21.0,104.95454545454545,19.0,8118.0,104.66666666666667,115.6842105263158
EX41,2022-09-08,1140.0,17.0,90.34285714285716,20.0,7832.0,67.05882352941177,57.0
EX41,2022-09-09,744.0,0.0,,13.0,7650.0,inf,57.23076923076923
EX41,2022-09-10,1970.0,19.0,130.28977272727275,20.0,9768.0,103.6842105263158,98.5
EX41,2022-09-11,1171.0,32.0,79.48917748917751,19.0,9718.0,36.59375,61.63157894736842
EX41,2022-09-12,2269.0,11.0,82.18181818181819,20.0,8713.0,206.27272727272728,113.45
EX41,2022-09-13,904.0,19.0,126.41477272727275,22.0,9761.0,47.578947368421055,41.09090909090909
EX41,2022-09-14,1896.0,19.0,38.1578947368421,22.0,9391.0,99.78947368421052,86.18181818181819
EX41,2022-09-15,2024.0,19.0,113.8,17.0,6886.0,106.52631578947368,119.05882352941177
EX41,2022-09-16,1116.0,70.0,64.3,20.0,9503.0,15.942857142857143,55.8
EX41,2022-09-17,2207.0,10.0,108.0,15.0,5332.0,220.7,147.13333333333333
EX41,2022-09-18,1080.0,24.0,93.16666666666667,3.0,473.0,45.0,360.0
EX41,2022-09-19,1797.0,17.0,39.94117647058823,,,105.70588235294117,
EX41,2022-09-20,1873.0,16.0,140.9,,,117.0625,
EX41,2022-09-21,1191.0,38.0,50.03361344537815,,,31.342105263157894,
EX41,2022-09-22,1807.0,10.0,112.5,0.0,0.0,180.7,inf
EX41,2022-09-23,1698.0,21.0,73.74545454545455,0.0,0.0,80.85714285714286,inf
EX41,2022-09-24,954.0,15.0,63.6,0.0,0.0,63.6,inf
EX41,2022-09-25,2050.0,19.0,117.09444444444445,0.0,0.0,107.89473684210526,inf
EX41,2022-09-26,2341.0,22.0,107.27272727272725,0.0,0.0,106.4090909090909,inf
EX41,2022-09-27,2314.0,21.0,106.37272727272725,,,110.19047619047619,
